Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼
Strangford Lough,13196,"14,061Standard visit under the WeBS Low Tide Count SurveyWeBS",16162,"19,583Supplementary visit under the WeBS Core Count SurveyWeBS","17,520Supplementary visit under the WeBS Core Count SurveyWeBS","21,500Supplementary visit under the WeBS Core Count SurveyWeBS","26,250All-Ireland Light-bellied Brent Goose CensusKendrew Colhoun in litt","21,885All-Ireland Light-bellied Brent Goose CensusKendrew Colhoun in litt",24658,30457,20702,21375,33750,33037,28494,26225,15978,32384,21980,18206,Oct,22955,22955,1,2019-11-21 14:23:16
Lindisfarne,"(2,812)","(1,767)",3584,"(4,845)","(3,150)",3716,"2,505Standard visit under the WeBS Low Tide Count SurveyWeBS",3688,"(3,350)","(3,798)",3879,"(4,935)",5612,4068,4041,3500,"(2,629)",3200,"(2,500)",4000,Oct,3567,3567,1,2019-11-21 14:23:16
Lough Foyle,2766,1934,3469,1841,"1,563Supplementary visit under the WeBS Core Count SurveyWeBS","3,277Supplementary visit under the WeBS Core Count SurveyWeBS","1,603All-Ireland Light-bellied Brent Goose CensusKendrew Colhoun in litt",3968,2177,3251,2550,3862,2652,2927,3722,2712,2500,3399,1465,3140,Oct,2643,2643,1,2019-11-21 14:23:16
Dundrum Inner Bay,259,148,205,320,242,287,302,640,575,1108,1232,982,948,918,1455,"(1,296)",0,990,1274,715,Dec,855,855,1,2019-11-21 14:23:16
Carlingford Lough,642,437,(498),(259),319,(570),538,508,542,483,626,626Supplementary visit under the WeBS Core Count SurveyWeBS,160,278,1320,477,379,581,1033,705,Mar,635,635,1,2019-11-21 14:23:16
Outer Ards Shoreline,221,215,120,210Supplementary visit under the WeBS Core Count SurveyWeBS,700,642,762,618,577,946,781,580,621,1311,734,378,576,553,435,290,Feb,446,446,1,2019-11-21 14:23:16
Traeth Melynog,nan,nan,nan,nan,nan,117,146,262,nan,nan,351,187,238,216,446,307,392,441,318,344,Nov,360,360,1,2019-11-21 14:23:16
Dee Estuary (England and Wales),21,14,45,32Standard visit under the WeBS Low Tide Count SurveyWeBS,25,66,121,138,104,199,174,130,214,262Supplementary visit under the WeBS Core Count SurveyWeBS,248,238,261,242,402,357,Dec,300,300,1,2019-11-21 14:23:16
Dee Estuary (English counties),11,8,35,25,25,66,121,138,104,175,171,130,214,208,246,238,261,242,402,357,Dec,300,300,1,2019-11-21 14:23:16
Morecambe Bay,2,5,(3),7,62Standard visit under the WeBS Low Tide Count SurveyWeBS,53,31,22,65,129,236,276,205,180,400,214,210,226,509,302,Dec,292,292,1,2019-11-21 14:23:16
Inland Sea and Alaw Estuary,23,51,95,80,76,95,nan,nan,68Standard visit under the WeBS Low Tide Count SurveyWeBS,nan,174,209,227,265,333Standard visit under the WeBS Low Tide Count SurveyWeBS,245,254,211,288,362,Feb,272,272,1,2019-11-21 14:23:16
Cymyran Strait - Four Mile Bridge to Sea,nan,nan,nan,nan,nan,0,0,0,nan,0,0,204,182,238,324,136,212,275,337,343,Jan,261,261,1,2019-11-21 14:23:16
Ardivachar Point (South Uist),nan,0,0,nan,0,0,65,0,0,0,0,nan,0,5,(0),"1,276Supplementary visit under the WeBS Core Count SurveyWeBS",0,0,0,0,nan,255,255,1,2019-11-21 14:23:16
Larne Lough,218,253,266,235,139,235,254,218,256,369,655,219,376,282,260,152,195,253,250,172,Jan,204,204,1,2019-11-21 14:23:16
Southampton Water,0,0,2,4,1,0,0,64,55,47,27,64,0,111,0,1,1,0,0,909,Mar,182,182,1,2019-11-21 14:23:16
