Site,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Mersey Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[12, 1, 'Jan', 0, None, None]","[8, 1, 'Oct', 0, None, None]","[18, 1, 'Jan', 0, None, None]","[12, 1, 'Sep', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[21, 1, 'Mar', 0, None, None]","[33, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[41, 1, 'Nov', 0, None, None]","[76, 1, 'Jan', 0, None, None]","[51, 1, 'Oct', 0, None, None]","[102, 1, 'Jan', 0, None, None]","[146, 1, 'Dec', 0, None, None]","[21, 1, 'Jan', 0, None, None]","[40, 1, 'Oct', 0, None, None]","[402, 1, 'Nov', 0, None, None]","[440, 1, 'Oct', 0, None, None]","[550, 1, 'Aug', 0, None, None]","[442, 1, 'Oct', 0, None, None]","[680, 1, 'Jan', 0, None, None]","[308, 1, 'Jul', 0, None, None]","[1738, 1, 'Aug', 0, None, None]","[737, 1, 'Jan', 0, None, None]","[1437, 1, 'Jul', 0, None, None]","[1177, 1, 'Jul', 0, None, None]","[2088, 1, 'Jun', 0, None, None]","[2188, 1, 'Jul', 0, None, None]","[2160, 1, 'Jun', 0, None, None]","[2706, 1, 'Jul', 0, None, None]","[3500, 1, 'Nov', 0, None, None]","[4519, 1, 'Jun', 0, None, None]","[4078, 1, 'Jul', 0, None, None]","[3220, 1, 'Jul', 0, None, None]","[4871, 1, 'Jun', 0, None, None]","[5270, 1, 'Jun', 0, None, None]","[5597, 1, 'Jul', 0, None, None]","[9047, 1, 'Jul', 0, None, None]","[9200, 2, 'Jul', 0, None, None]","[7783, 1, 'Jul', 0, None, None]",2019-12-05 17:55:24
Ribble Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[15, 1, 'Sep', 0, None, None]","[0, 2, '', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[3, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[27, 1, 'Nov', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[26, 1, 'Dec', 0, None, None]","[5, 1, 'Jan', 0, None, None]","[21, 1, 'Sep', 0, None, None]","[57, 1, 'Aug', 0, None, None]","[49, 1, 'Dec', 0, None, None]","[64, 1, 'Nov', 0, None, None]","[118, 1, 'Aug', 0, None, None]","[68, 1, 'Oct', 0, None, None]","[124, 1, 'Dec', 0, None, None]","[123, 1, 'Sep', 0, None, None]","[134, 1, 'Sep', 0, None, None]","[128, 1, 'Aug', 0, None, None]","[197, 2, 'Nov', 0, None, None]","[148, 2, 'Dec', 0, None, None]","[324, 1, 'Dec', 0, None, None]","[443, 1, 'Jun', 0, None, None]","[493, 2, 'Oct', 0, None, None]","[552, 1, 'Sep', 0, None, None]","[626, 1, 'Jan', 0, None, None]","[1245, 2, 'Dec', 0, None, None]","[1494, 2, 'Aug', 0, None, None]","[1625, 1, 'Jan', 0, None, None]","[1828, 1, 'Dec', 0, None, None]","[2207, 1, 'Jan', 0, None, None]","[2907, 1, 'Oct', 0, None, None]","[2811, 1, 'Aug', 0, None, None]","[4308, 1, 'Aug', 0, None, None]","[2556, 1, 'Sep', 0, None, None]","[3062, 1, 'Dec', 0, None, None]","[2447, 1, 'Nov', 0, None, None]","[2509, 1, 'Dec', 0, None, None]",2019-12-05 17:55:24
Dee Estuary (England and Wales),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 2, '', 0, None, None]","[4, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[11, 1, 'Sep', 0, None, None]","[25, 1, 'Dec', 0, None, None]","[25, 1, 'Sep', 0, None, None]","[12, 1, 'Aug', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[78, 1, 'Jan', 0, None, None]","[162, 1, 'Jan', 0, None, None]","[270, 1, 'Nov', 0, None, None]","[420, 1, 'Nov', 0, None, None]","[433, 1, 'Sep', 0, None, None]","[553, 1, 'Sep', 0, None, None]","[421, 1, 'Sep', 0, None, None]","[645, 1, 'Jan', 0, None, None]","[877, 1, 'Oct', 0, None, None]","[875, 1, 'Jan', 0, None, None]","[1150, 1, 'Nov', 0, None, None]","[1347, 1, 'Oct', 0, None, None]","[1664, 1, 'Dec', 0, None, None]","[2268, 1, 'Feb', 0, None, None]","[2568, 1, 'Sep', 0, None, None]","[1529, 1, 'Oct', 0, None, None]","[2316, 1, 'Oct', 0, None, None]","[1987, 1, 'Jan', 0, None, None]","[1810, 1, 'Oct', 0, None, None]","[2536, 1, 'Sep', 0, None, None]","[3200, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[2303, 1, 'Aug', 0, None, None]","[2688, 1, 'Oct', 0, None, None]","[3694, 1, 'Nov', 0, None, None]","[2042, 1, 'Nov', 0, None, None]","[1920, 1, 'Jan', 0, None, None]","[2650, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[2650, 1, 'Jan', 0, None, None]","[2758, 1, 'Aug', 0, None, None]","[3443, 1, 'Sep', 0, None, None]",2019-12-05 17:55:24
Dee Estuary (English counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 2, '', 0, None, None]","[4, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[11, 1, 'Sep', 0, None, None]","[25, 1, 'Dec', 0, None, None]","[25, 1, 'Sep', 0, None, None]","[12, 1, 'Aug', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[78, 1, 'Jan', 0, None, None]","[162, 1, 'Jan', 0, None, None]","[270, 1, 'Nov', 0, None, None]","[420, 1, 'Nov', 0, None, None]","[433, 1, 'Sep', 0, None, None]","[553, 1, 'Sep', 0, None, None]","[421, 1, 'Sep', 0, None, None]","[568, 1, 'Feb', 0, None, None]","[746, 2, 'Jan', 0, None, None]","[869, 1, 'Jan', 0, None, None]","[1150, 1, 'Nov', 0, None, None]","[1171, 1, 'Sep', 0, None, None]","[1648, 1, 'Dec', 0, None, None]","[1951, 1, 'Feb', 0, None, None]","[2304, 1, 'Sep', 0, None, None]","[1505, 1, 'Oct', 0, None, None]","[2303, 1, 'Sep', 0, None, None]","[1987, 1, 'Jan', 0, None, None]","[1769, 1, 'Oct', 0, None, None]","[2133, 1, 'Sep', 0, None, None]","[1531, 1, 'Oct', 0, None, None]","[2228, 1, 'Aug', 0, None, None]","[2570, 1, 'Dec', 0, None, None]","[3643, 1, 'Nov', 0, None, None]","[1707, 1, 'Oct', 0, None, None]","[1254, 1, 'Sep', 0, None, None]","[1860, 1, 'Oct', 0, None, None]","[2553, 1, 'Jan', 0, None, None]","[2582, 1, 'Aug', 0, None, None]","[2323, 1, 'Nov', 0, None, None]",2019-12-05 17:55:24
Dee Estuary (Welsh counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[21, 1, 'Dec', 0, None, None]","[202, 1, 'Jan', 0, None, None]","[258, 1, 'Nov', 0, None, None]","[130, 1, 'Jan', 0, None, None]","[645, 1, 'Jan', 0, None, None]","[624, 1, 'Sep', 0, None, None]","[146, 1, 'Dec', 0, None, None]","[14, 2, 'Sep', 0, None, None]","[333, 1, 'Oct', 0, None, None]","[1007, 1, 'Oct', 0, None, None]","[317, 1, 'Feb', 0, None, None]","[732, 1, 'Oct', 0, None, None]","[900, 1, 'Dec', 0, None, None]","[101, 1, 'Feb', 0, None, None]","[411, 1, 'Aug', 0, None, None]","[592, 1, 'Sep', 0, None, None]","[1217, 1, 'Oct', 0, None, None]","[429, 1, 'Jan', 0, None, None]","[245, 1, 'Oct', 0, None, None]","[940, 1, 'Sep', 0, None, None]","[2085, 1, 'Oct', 0, None, None]","[1467, 1, 'Sep', 0, None, None]","[800, 1, 'Jan', 0, None, None]","[1790, 1, 'Dec', 0, None, None]","[2053, 1, 'Sep', 0, None, None]","[1351, 1, 'Feb', 0, None, None]","[2240, 1, 'Aug', 0, None, None]",2019-12-05 17:55:24
Dyfi Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[7, 1, 'Nov', 0, None, None]","[8, 1, 'Feb', 0, None, None]","[17, 1, 'Dec', 0, None, None]","[20, 1, 'Sep', 0, None, None]","[41, 1, 'Nov', 0, None, None]","[80, 1, 'Feb', 0, None, None]","[143, 1, 'Feb', 0, None, None]","[163, 1, 'Dec', 0, None, None]","[278, 1, 'Nov', 0, None, None]","[453, 1, 'Feb', 0, None, None]","[520, 1, 'Oct', 0, None, None]","[681, 1, 'Feb', 0, None, None]","[780, 1, 'Jun', 0, None, None]","[1020, 1, 'Dec', 0, None, None]","[1543, 1, 'Jun', 0, None, None]","[1884, 1, 'Jun', 0, None, None]","[2180, 1, 'Jun', 0, None, None]","[2156, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[3029, 1, 'Jul', 0, None, None]","[2437, 1, 'Jun', 0, None, None]","[2380, 1, 'Jun', 0, None, None]","[2947, 1, 'Dec', 0, None, None]","[2420, 1, 'Nov', 0, None, None]","[2799, 1, 'Jan', 0, None, None]","[3319, 1, 'Dec', 0, None, None]","[2478, 1, 'Jul', 0, None, None]","[2966, 1, 'Nov', 0, None, None]","[2566, 1, 'Jan', 0, None, None]","[1891, 1, 'Aug', 0, None, None]","[1501, 1, 'Oct', 0, None, None]","[2008, 1, 'Jan', 0, None, None]","[1949, 1, 'Oct', 0, None, None]","[1368, 1, 'Sep', 0, None, None]","[1358, 1, 'Jan', 0, None, None]",2019-12-05 17:55:24
Abberton Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[11, 1, 'Feb', 0, None, None]","[90, 1, 'Dec', 0, None, None]","[8, 1, 'Feb', 0, None, None]","[38, 1, 'Oct', 0, None, None]","[10, 1, 'Oct', 0, None, None]","[7, 1, 'Jan', 0, None, None]","[50, 1, 'Sep', 0, None, None]","[34, 1, 'Dec', 0, None, None]","[39, 1, 'Jan', 0, None, None]","[128, 1, 'Dec', 0, None, None]","[75, 1, 'Dec', 0, None, None]","[22, 1, 'Jan', 0, None, None]","[58, 1, 'Nov', 0, None, None]","[74, 1, 'Jan', 0, None, None]","[170, 1, 'Sep', 0, None, None]","[132, 1, 'Jan', 0, None, None]","[572, 1, 'Sep', 0, None, None]","[543, 1, 'Sep', 0, None, None]","[821, 1, 'Sep', 0, None, None]","[539, 1, 'Sep', 0, None, None]","[1122, 1, 'Sep', 0, None, None]","[1156, 1, 'Sep', 0, None, None]","[1240, 1, 'Sep', 0, None, None]","[618, 1, 'Aug', 0, None, None]","[398, 1, 'Aug', 0, None, None]","[1251, 1, 'Sep', 0, None, None]","[975, 1, 'Aug', 0, None, None]","[302, 1, 'Nov', 0, None, None]","[550, 1, 'Aug', 0, None, None]","[433, 1, 'Sep', 0, None, None]","[608, 1, 'Aug', 0, None, None]","[989, 1, 'Aug', 0, None, None]","[928, 1, 'Aug', 0, None, None]","[1217, 1, 'Aug', 0, None, None]","[2000, 2, 'Jan', 0, None, None]","[270, 1, 'Nov', 0, None, None]","[639, 1, 'Aug', 0, None, None]","[616, 2, 'Sep', 0, None, None]","[607, 1, 'Oct', 0, None, None]","[213, 2, 'Aug', 0, None, None]","[1036, 1, 'Aug', 0, None, None]","[480, 1, 'Sep', 0, None, None]","[355, 1, 'Oct', 0, None, None]","[1502, 1, 'Aug', 0, None, None]","[1149, 1, 'Oct', 0, None, None]","[1197, 1, 'Aug', 0, None, None]","[1641, 1, 'Jul', 0, None, None]","[2153, 1, 'Jul', 0, None, None]","[965, 1, 'Jul', 0, None, None]","[1044, 1, 'Sep', 0, None, None]","[1601, 1, 'Jul', 0, None, None]",2019-12-05 17:55:24
Arun Valley,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[119, 1, 'Dec', 0, None, None]","[240, 1, 'Jan', 0, None, None]","[40, 1, 'Mar', 0, None, None]","[70, 1, 'Jan', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[40, 1, 'Dec', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[40, 1, 'Feb', 0, None, None]","[200, 1, 'Jan', 0, None, None]","[421, 1, 'Oct', 0, None, None]","[543, 1, 'Nov', 0, None, None]","[174, 1, 'Jan', 0, None, None]","[557, 1, 'Dec', 0, None, None]","[155, 1, 'Nov', 0, None, None]","[652, 1, 'Jan', 0, None, None]","[698, 1, 'Dec', 0, None, None]","[571, 1, 'Jan', 0, None, None]","[1675, 1, 'Nov', 0, None, None]","[1036, 1, 'Oct', 0, None, None]","[780, 1, 'Oct', 0, None, None]","[1335, 1, 'Dec', 0, None, None]","[1057, 1, 'Oct', 0, None, None]","[603, 1, 'Dec', 0, None, None]","[730, 1, 'Jan', 0, None, None]","[607, 1, 'Jan', 0, None, None]","[496, 1, 'Jan', 0, None, None]","[1013, 1, 'Jan', 0, None, None]","[478, 1, 'Oct', 0, None, None]","[868, 1, 'Oct', 0, None, None]","[802, 1, 'Jan', 0, None, None]","[1490, 1, 'Nov', 0, None, None]","[1418, 1, 'Jan', 0, None, None]","[1057, 1, 'Oct', 0, None, None]","[1204, 1, 'Nov', 0, None, None]","[1560, 1, 'Dec', 0, None, None]","[1754, 2, 'Nov', 0, None, None]","[866, 1, 'Nov', 0, None, None]","[1236, 1, 'Oct', 0, None, None]","[742, 1, 'Nov', 0, None, None]","[1076, 1, 'Dec', 0, None, None]","[570, 1, 'Dec', 0, None, None]","[939, 1, 'Nov', 0, None, None]","[1535, 2, 'Nov', 0, None, None]","[1390, 1, 'Oct', 0, None, None]","[794, 1, 'Feb', 0, None, None]","[1123, 1, 'Oct', 0, None, None]","[1416, 1, 'Oct', 0, None, None]","[1806, 2, 'Jan', 0, None, None]","[1308, 1, 'Oct', 0, None, None]","[1808, 1, 'Nov', 0, None, None]","[963, 1, 'Sep', 0, None, None]",2019-12-05 17:55:24
Colliford Lake and Dozmary Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[10, 1, 'Feb', 0, None, None]","[13, 1, 'Feb', 0, None, None]","[85, 1, 'Jan', 0, None, None]","[91, 1, 'Dec', 0, None, None]","[37, 1, 'Feb', 0, None, None]","[121, 1, 'Nov', 0, None, None]","[274, 1, 'Jun', 0, None, None]","[320, 1, 'Jun', 0, None, None]","[445, 1, 'Jun', 0, None, None]","[492, 1, 'Jun', 0, None, None]","[336, 1, 'Jan', 0, None, None]","[759, 1, 'Jun', 0, None, None]","[861, 1, 'Jun', 0, None, None]","[1072, 1, 'Jul', 0, None, None]","[1042, 1, 'Jun', 0, None, None]","[1886, 1, 'Jun', 0, None, None]","[1284, 1, 'Jun', 0, None, None]","[1477, 1, 'Jun', 0, None, None]","[841, 1, 'Jun', 0, None, None]","[2441, 1, 'Jun', 0, None, None]","[1646, 1, 'Jun', 0, None, None]","[1198, 1, 'Jun', 0, None, None]","[1409, 1, 'Jun', 0, None, None]","[897, 1, 'Jun', 0, None, None]","[1641, 1, 'Jun', 0, None, None]","[911, 1, 'Jul', 0, None, None]","[1328, 1, 'Jun', 0, None, None]","[947, 1, 'Jun', 0, None, None]","[744, 1, 'Jul', 0, None, None]","[1802, 1, 'Jul', 0, None, None]","[1313, 1, 'Jul', 0, None, None]",2019-12-05 17:55:24
Blithfield Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[32, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[64, 1, 'Dec', 0, None, None]","[57, 1, 'Dec', 0, None, None]","[108, 1, 'Nov', 0, None, None]","[51, 1, 'Dec', 0, None, None]","[124, 1, 'Nov', 0, None, None]","[135, 1, 'Sep', 0, None, None]","[238, 1, 'Oct', 0, None, None]","[267, 1, 'Oct', 0, None, None]","[400, 1, 'Sep', 0, None, None]","[376, 1, 'Sep', 0, None, None]","[357, 1, 'Oct', 0, None, None]","[284, 1, 'Nov', 0, None, None]","[680, 1, 'Dec', 0, None, None]","[422, 1, 'Dec', 0, None, None]","[493, 1, 'Dec', 0, None, None]","[520, 1, 'Nov', 0, None, None]","[730, 1, 'Jan', 0, None, None]","[585, 1, 'Sep', 0, None, None]","[624, 1, 'Sep', 0, None, None]","[830, 1, 'Dec', 0, None, None]","[365, 1, 'Nov', 0, None, None]","[560, 1, 'Nov', 0, None, None]","[896, 1, 'Sep', 0, None, None]","[930, 1, 'Nov', 0, None, None]","[890, 1, 'Sep', 0, None, None]","[484, 1, 'Sep', 0, None, None]","[688, 1, 'Aug', 0, None, None]","[342, 1, 'Oct', 0, None, None]","[916, 1, 'Sep', 0, None, None]","[850, 1, 'Sep', 0, None, None]","[1120, 1, 'Oct', 0, None, None]","[1140, 1, 'Sep', 0, None, None]","[570, 1, 'Aug', 0, None, None]","[321, 1, 'Dec', 0, None, None]","[386, 1, 'Dec', 0, None, None]","[756, 1, 'Aug', 0, None, None]","[604, 1, 'Oct', 0, None, None]",nan,nan,"[170, 1, 'Jun', 0, None, None]","[788, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[613, 1, 'Dec', 0, None, None]","[992, 1, 'Jan', 0, None, None]","[1100, 1, 'Feb', 0, None, None]","[1037, 2, 'Dec', 0, None, None]","[1193, 1, 'Aug', 0, None, None]","[970, 2, 'Dec', 0, None, None]","[2101, 1, 'Sep', 0, None, None]","[606, 1, 'Aug', 0, None, None]","[731, 1, 'Aug', 0, None, None]",2019-12-05 17:55:24
