Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Swinsty Reservoir,0,0.0,0.0,(1),0.0,0.0,0.0,nan,nan,0,0.0,1.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,2019-11-24 19:28:20
Tangley Mere,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,2019-11-24 19:28:20
Tansor Gravel Pits,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,2019-11-24 19:28:20
The Wylds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,2019-11-24 19:28:20
Theydon Bois Duck Pond,nan,0.0,0.0,nan,nan,1.0,0.0,0.0,nan,0,2.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,2019-11-24 19:28:20
Theydon Bois Green Pond,nan,0.0,nan,2,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,2019-11-24 19:28:20
Thursley Lake,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,2019-11-24 19:28:20
Timsbury Gravel Pits and River Test,0,0.0,0.0,0,0.0,nan,0.0,2.0,(0),0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,2019-11-24 19:28:20
Titness and Buckhurst Parks Sunninghill,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,2019-11-24 19:28:20
Toddbrook Reservoir,nan,nan,0.0,0,0.0,0.0,0.0,1.0,0,(0),0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,2019-11-24 19:28:20
