Site,35/36,36/37,37/38,38/39,39/40,40/41,41/42,42/43,43/44,44/45,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Forth Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[15, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,nan,nan,nan,nan,nan,"[5, 1, 'Dec', 0, None, None]","[20, 1, 'Jan', 0, None, None]","[8, 1, 'Sep', 0, None, None]","[28, 1, 'Nov', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[300, 1, 'Jan', 0, None, None]","[200, 1, 'Sep', 0, None, None]","[200, 1, 'Oct', 0, None, None]","[50, 1, 'Sep', 0, None, None]","[20, 1, 'Sep', 0, None, None]","[120, 1, 'Sep', 0, None, None]","[49, 1, 'Dec', 0, None, None]","[30, 1, 'Oct', 0, None, None]","[76, 1, 'Oct', 0, None, None]","[59, 1, 'Sep', 0, None, None]","[33, 1, 'Sep', 0, None, None]","[205, 1, 'Mar', 0, None, None]","[112, 1, 'Mar', 0, None, None]","[105, 1, 'Feb', 0, None, None]","[123, 1, 'Dec', 0, None, None]","[47, 1, 'Nov', 0, None, None]","[118, 1, 'Nov', 0, None, None]","[84, 1, 'Oct', 0, None, None]","[300, 1, 'Apr', 0, None, None]","[290, 1, 'Mar', 0, None, None]","[510, 1, 'Apr', 0, None, None]","[485, 1, 'Dec', 0, None, None]","[686, 1, 'Apr', 0, None, None]","[868, 1, 'Mar', 0, None, None]","[528, 1, 'Mar', 0, None, None]","[433, 1, 'May', 0, None, None]","[751, 1, 'Mar', 0, None, None]","[542, 2, 'Dec', 0, None, None]","[1923, 1, 'Apr', 0, None, None]","[1487, 1, 'Jan', 0, None, None]","[1008, 1, 'Apr', 0, None, None]","[1007, 1, 'Mar', 0, None, None]","[775, 1, 'Dec', 0, None, None]","[928, 1, 'Nov', 0, None, None]","[467, 1, 'Mar', 0, None, None]","[728, 1, 'Dec', 0, None, None]","[457, 1, 'May', 0, None, None]","[649, 1, 'Feb', 0, None, None]","[452, 1, 'Feb', 0, None, None]","[789, 1, 'Feb', 0, None, None]","[473, 1, 'Apr', 0, None, None]","[1284, 1, 'May', 0, None, None]","[1688, 1, 'Feb', 0, None, None]","[1031, 1, 'Feb', 0, None, None]","[816, 1, 'Nov', 0, None, None]",2019-12-06 21:23:20
Lunan Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[400, 1, 'Sep', 0, None, None]","[105, 1, 'Sep', 0, None, None]","[300, 2, 'Sep', 0, None, None]","[125, 1, 'Aug', 0, None, None]","[120, 1, 'Sep', 0, None, None]","[2, 1, 'Jun', 0, None, None]","[100, 1, 'Aug', 0, None, None]","[240, 2, 'Nov', 0, None, None]","[40, 2, 'Oct', 0, None, None]","[67, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[250, 1, 'Sep', 0, None, None]","[30, 1, 'Jul', 0, None, None]","[60, 1, 'Aug', 0, None, None]","[100, 1, 'Oct', 0, None, None]","[140, 2, 'Sep', 0, None, None]","[350, 1, 'Sep', 0, None, None]","[200, 1, 'Jul', 0, None, None]",2019-12-06 21:23:20
St Andrews Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,"[40, 1, 'Jan', 0, None, None]",nan,"[0, 1, '', 0, None, None]",nan,"[74, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[6, 1, 'Oct', 0, None, None]","[380, 1, 'Mar', 0, None, None]","[420, 1, 'Dec', 0, None, None]","[35, 1, 'Feb', 0, None, None]","[500, 1, 'Mar', 0, None, None]","[1600, 1, 'Feb', 0, None, None]","[500, 1, 'Nov', 0, None, None]","[2400, 1, 'Jan', 0, None, None]","[400, 1, 'Dec', 0, None, None]",nan,"[4, 1, 'Jul', 0, None, None]","[0, 1, '', 0, None, None]","[280, 1, 'Nov', 0, None, None]","[1000, 1, 'Nov', 0, None, None]","[942, 1, 'Nov', 0, None, None]","[520, 1, 'Nov', 0, None, None]","[840, 1, 'Dec', 0, None, None]","[845, 1, 'Nov', 0, None, None]","[1870, 2, 'Dec', 0, None, None]","[800, 1, 'Dec', 0, None, None]","[2, 1, 'Apr', 0, None, None]","[90, 1, 'Dec', 0, None, None]","[1050, 1, 'Dec', 0, None, None]","[8, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[12, 1, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[8, 1, 'Dec', 0, None, None]","[5, 1, 'Jan', 0, None, None]","[37, 1, 'Mar', 0, None, None]","[26, 1, 'Nov', 0, None, None]","[16, 1, 'Dec', 0, None, None]","[200, 1, 'Jan', 0, None, None]","[45, 1, 'Jan', 0, None, None]","[505, 1, 'Feb', 0, None, None]",2019-12-06 21:23:20
Don Mouth to Ythan Mouth,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[50, 1, 'Oct', 0, None, None]","[3, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Oct', 0, None, None]","[75, 1, 'Oct', 0, None, None]","[43, 1, 'Sep', 0, None, None]","[88, 1, 'Sep', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[145, 1, 'Sep', 0, None, None]","[20, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[157, 1, 'Aug', 0, None, None]","[84, 1, 'Oct', 0, None, None]","[163, 1, 'Nov', 0, None, None]","[133, 1, 'Oct', 0, None, None]","[53, 1, 'Jan', 0, None, None]","[7, 1, 'Sep', 0, None, None]","[4, 1, 'Sep', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[0, 2, '', 0, None, None]","[7, 1, 'Oct', 0, None, None]","[1, 2, 'Oct', 0, None, None]","[3, 1, 'Aug', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[6, 1, 'Apr', 0, None, None]","[15, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[12, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Jun', 0, None, None]","[71, 1, 'Sep', 0, None, None]","[126, 1, 'Jul', 0, None, None]","[197, 1, 'Jul', 0, None, None]","[1, 1, 'Oct', 0, None, None]",2019-12-06 21:23:20
Inner Moray and Beauly Firths,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[58, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[15, 1, 'Mar', 0, None, None]","[144, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[401, 1, 'Jan', 0, None, None]","[66, 1, 'Jan', 0, None, None]","[183, 1, 'Jan', 0, None, None]","[66, 1, 'Jan', 0, None, None]","[66, 1, 'Dec', 0, None, None]","[140, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[401, 1, 'Dec', 1, 'RSPB Moray Firth counts', 'RSPB']","[744, 1, 'Dec', 1, 'RSPB Moray Firth counts', 'RSPB']","[610, 1, 'Feb', 0, None, None]","[4395, 1, 'Feb', 0, None, None]","[2103, 1, 'Jan', 1, 'RSPB Moray Firth counts', 'RSPB']","[1169, 1, 'Dec', 1, 'RSPB Moray Firth counts', 'RSPB']","[1258, 1, 'Feb', 0, None, None]","[740, 1, 'Dec', 0, None, None]","[38, 1, 'Oct', 0, None, None]","[17, 1, 'Dec', 0, None, None]","[62, 1, 'Nov', 0, None, None]","[18, 1, 'Oct', 0, None, None]","[66, 1, 'Dec', 0, None, None]","[25, 1, 'Dec', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[11, 1, 'Dec', 0, None, None]","[41, 1, 'Feb', 0, None, None]","[99, 1, 'Jan', 0, None, None]","[59, 1, 'Jan', 0, None, None]",2019-12-06 21:23:20
North Norfolk Coast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[161, 1, 'Jan', 0, None, None]","[2, 1, 'Apr', 0, None, None]","[9, 1, 'Dec', 0, None, None]","[101, 1, 'Jan', 0, None, None]","[108, 2, 'Dec', 0, None, None]","[2, 1, 'Oct', 0, None, None]","[18, 1, 'Oct', 0, None, None]","[19, 1, 'Dec', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[3, 1, 'Mar', 0, None, None]","[41, 1, 'Jan', 0, None, None]","[55, 1, 'Mar', 0, None, None]","[14, 1, 'Jan', 0, None, None]","[45, 1, 'Nov', 0, None, None]","[25, 1, 'Feb', 0, None, None]","[3, 1, 'Oct', 0, None, None]","[4, 2, 'Nov', 0, None, None]","[7, 1, 'Nov', 0, None, None]","[27, 1, 'Mar', 0, None, None]","[3, 1, 'Mar', 0, None, None]","[4, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[19, 1, 'Mar', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[32, 1, 'Mar', 0, None, None]","[85, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[3, 1, 'Nov', 0, None, None]",2019-12-06 21:23:20
Burghead Bay - Burghead to Findhorn,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[320, 1, 'Jan', 0, None, None]",nan,nan,"[0, 1, '', 0, None, None]","[740, 1, 'Mar', 0, None, None]","[84, 1, 'Jan', 0, None, None]","[340, 1, 'Apr', 0, None, None]","[2000, 1, 'Dec', 0, None, None]","[376, 1, 'Dec', 0, None, None]",nan,nan,"[438, 1, 'Mar', 0, None, None]","[104, 1, 'Dec', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[7, 1, 'Jan', 0, None, None]","[0, 2, '', 0, None, None]","[150, 1, 'Oct', 0, None, None]","[135, 1, 'Jan', 0, None, None]","[46, 1, 'Dec', 0, None, None]","[96, 1, 'Dec', 0, None, None]","[9, 1, 'Dec', 0, None, None]","[73, 2, 'Oct', 0, None, None]","[8, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",2019-12-06 21:23:20
Humber Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[21, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[5, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Oct', 0, None, None]","[6, 1, 'Nov', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[6, 1, 'Nov', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[3, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[6, 1, 'Nov', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jul', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[3, 1, 'Jan', 0, None, None]","[10, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[16, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[1, 1, 'Dec', 0, None, None]","[10, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[24, 1, 'Jan', 0, None, None]","[1, 1, 'Oct', 0, None, None]",2019-12-06 21:23:20
Tees Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[6, 1, 'Nov', 0, None, None]","[10, 1, 'Dec', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[5, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[11, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[3, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[2, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[9, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[4, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[16, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1, 1, 'Oct', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",2019-12-06 21:23:20
Pegwell Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[7, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[3, 1, 'Apr', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1, 1, 'Apr', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[1, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[12, 2, 'Dec', 0, None, None]","[1, 1, 'Dec', 0, None, None]",2019-12-06 21:23:20
