Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Slamannan Plateau,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,88Supplementary visit under the WeBS Core Count SurveyWeBS,188Supplementary visit under the WeBS Core Count SurveyWeBS,183Supplementary visit under the WeBS Core Count SurveyWeBS,192Supplementary visit under the WeBS Core Count SurveyWeBS,231Supplementary visit under the WeBS Core Count SurveyWeBS,235Supplementary visit under the WeBS Core Count SurveyWeBS,"262Report to the Bean Goose Working Group. 15 ppSimpson, J. and MacIver, A. 2001. Population and Distribution of Bean Geese in the Slamannan area 2000/01","300Report to the Bean Goose Working Group. 15 ppSimpson, J. and MacIver, A. 2001. Population and Distribution of Bean Geese in the Slamannan area 2000/01","255Report to the Bean Goose Working Group. 15 ppSimpson, J. and MacIver, A. 2001. Population and Distribution of Bean Geese in the Slamannan area 2000/01","300Report to the Bean Goose Working Group. 15 ppSimpson, J. and MacIver, A. 2001. Population and Distribution of Bean Geese in the Slamannan area 2000/01","265Report to the Bean Goose Working Group. 15 ppSimpson, J. and MacIver, A. 2001. Population and Distribution of Bean Geese in the Slamannan area 2000/01",260The Slamannan Plateau Bean Goose countsSNH / The Slamannan Plateau Bean Goose Management Scheme,267The Slamannan Plateau Bean Goose countsSNH / The Slamannan Plateau Bean Goose Management Scheme,238The Slamannan Plateau Bean Goose countsSNH / The Slamannan Plateau Bean Goose Management Scheme,240The Slamannan Plateau Bean Goose countsSNH / The Slamannan Plateau Bean Goose Management Scheme,237The Slamannan Plateau Bean Goose countsSNH / The Slamannan Plateau Bean Goose Management Scheme,231The Slamannan Plateau Bean Goose countsSNH / The Slamannan Plateau Bean Goose Management Scheme,236The Slamannan Plateau Bean Goose countsSNH / The Slamannan Plateau Bean Goose Management Scheme,216The Slamannan Plateau Bean Goose countsSNH / The Slamannan Plateau Bean Goose Management Scheme,206The Slamannan Plateau Bean Goose countsSNH / The Slamannan Plateau Bean Goose Management Scheme,Dec,225,225,1,2019-11-28 10:10:44
Upper River Avon - Wester Jaw,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,157,119,0,187,0,0,0,0,nan,0,0,0,0,0,24,0,0,nan,nan,23,83,Nov,35,35,1,2019-11-28 10:10:44
Middle Yare Marshes,nan,0,0.0,329.0,193.0,236.0,372.0,274.0,314,300,350,332,485,0.0,350.0,(230),(190),121.0,17,29,193,227Supplementary visit under the WeBS Core Count SurveyWeBS,276,272Supplementary visit under the WeBS Core Count SurveyWeBS,183Supplementary visit under the WeBS Core Count SurveyWeBS,140,"156Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","169Yare valley Bean Goose countsRSPB Bean Goose counts, RSPB Strumpshaw","111Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","136Yare valley Bean Goose countsRSPB Bean Goose counts, RSPB Strumpshaw","133Yare valley Bean Goose countsRSPB Bean Goose counts, RSPB Strumpshaw","81Yare valley Bean Goose countsRSPB Bean Goose counts, RSPB Strumpshaw","137Yare valley Bean Goose countsRSPB Bean Goose counts, RSPB Strumpshaw",145,84,"49Yare valley Bean Goose countsRSPB Bean Goose counts, RSPB Strumpshaw",32Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"22Yare valley Bean Goose countsRSPB Bean Goose counts, RSPB Strumpshaw",34Norfolk Bird ReportNorfolk and Norwich Naturalists' Society,18Norfolk Bird ReportNorfolk and Norwich Naturalists' Society,Dec,31,31,1,2019-11-28 10:10:44
North Norfolk Coast,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,nan,2,2,1,2019-11-28 10:10:44
Breydon Water and Berney Marshes,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2Supplementary visit under the WeBS Core Count SurveyWeBS,0,1Supplementary visit under the WeBS Core Count SurveyWeBS,0,nan,1,1,1,2019-11-28 10:10:44
Humber Estuary,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,(0),0.0,0.0,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,nan,1,1,1,2019-11-28 10:10:44
Loch Sarclet,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0,0,nan,0,0,0,0,0,0,nan,nan,0,0,0,0,0,0,0,0,0,2,0,0,nan,0,nan,1,1,1,2019-11-28 10:10:44
Abberton Reservoir,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,(0),0,0,0,0,0,0,0,0,0,0,0,nan,0,0,1,2019-11-28 10:10:44
Achlochan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,(0),(0),(0),nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,1,2019-11-28 10:10:44
Adur Levels,0.0,0,0.0,nan,0.0,0.0,nan,nan,nan,0,0,0,0,nan,0.0,0,0,0.0,0,0,0,0,0,0,(0),0,0,0,0,0,0,0,0,0,0,nan,0,0,0,0,nan,0,0,1,2019-11-28 10:10:44
