Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Lindisfarne,"(2,812)","(1,767)","(3,584)","(4,845)","(3,150)",3716,"2,505Standard visit under the WeBS Low Tide Count SurveyWeBS",3688,"(3,350)","(3,798)",3879,"(4,935)",5612,4068,4041,3500,"(2,629)",3200,"(2,500)",4000,Oct,3567,3567,1,2019-11-24 05:11:43
Inner Moray and Beauly Firths,3,39,10,41,100,55,18,81,43,38,99,52,64,90,74,70,(66),(139),(84),(88),Feb,95,95,1,2019-11-24 05:11:43
Eden Estuary,10,7,9,(4),(24),15,9,27,18,69,29Standard visit under the WeBS Low Tide Count SurveyWeBS,41,42,42,53,32,16,26,29,43Standard visit under the WeBS Low Tide Count SurveyWeBS,Dec,29,29,1,2019-11-24 05:11:43
Orwell Estuary,0,0,0,8,0,0,0,0,0,0,0,0,8Standard visit under the WeBS Low Tide Count SurveyWeBS,0,0,5Standard visit under the WeBS Low Tide Count SurveyWeBS,1,0,121,0,nan,25,25,1,2019-11-24 05:11:43
Seahouses to Budle Point,(22),0,0,70,0,(0),23,48,18,0,0,22,110,12,(0),28,12,0,48,(0),nan,22,22,1,2019-11-24 05:11:43
Cromarty Firth,0,0,0,0,1,6,0,0,1,(3),28,(2),6,21,13,(15),19Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,15,11,10,Oct,14,14,1,2019-11-24 05:11:43
Forth Estuary,2,2,5,14,7,0,1,1,0,6,5,4,1,8,15,(20),3,6,15,2,Oct,9,9,1,2019-11-24 05:11:43
Beadnell to Seahouses,0,1,(0),44,0,0,0,0,0,1,12,0,140,12,12,5,(9),0,19,0,nan,7,7,1,2019-11-24 05:11:43
Montrose Basin,0,0,1Supplementary roost count under the WeBS Core Count SurveyWeBS,5,4,6,0,22Standard visit under the WeBS Low Tide Count SurveyWeBS,1,0,4Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,9,11Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,0,24,13Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,0,0,15,0,nan,6,6,1,2019-11-24 05:11:43
Durham Coast,0,(0),0,(0),0,(0),0,0,0,0,(0),(0),4,0,10,0,8,10,6,0,nan,5,5,1,2019-11-24 05:11:43
East Barns to Dunglass,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,22,0,0,0,0,18,0,0,0,nan,4,4,1,2019-11-24 05:11:43
Humber Estuary,0,6,6,10,13,2Standard visit under the WeBS Low Tide Count SurveyWeBS,0,10,(8),2,3,30,252Supplementary visit under the WeBS Core Count SurveyWeBS,39,25,(4),9,2,2,2,Nov,4,4,1,2019-11-24 05:11:43
Montrose to St Cyrus,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,15,1,0,nan,0,nan,4,4,1,2019-11-24 05:11:43
Alde Estuary,0,0,0,0,15,1,6,10,0,0,1,3,1,9,25,1,1,10,0,0,nan,2,2,1,2019-11-24 05:11:43
Alnmouth to Boulmer,0,0,4,4,10,5,4,6,3,0,0,1,(80),2,45,0,2,1,(5),(0),nan,2,2,1,2019-11-24 05:11:43
Dornoch Firth,0,1Supplementary visit under the WeBS Core Count SurveyWeBS,0,5,13,0,0,0,0,1,(20),11,5,13,4,4,0,2,3,1,Jan,2,2,1,2019-11-24 05:11:43
Loch Fleet Complex,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,1,3,2,3,0,nan,2,2,1,2019-11-24 05:11:43
Lossie Estuary,1,0,2,0,0,6,0,0,0,0,28,2,0,0,3,0,0,9,0,0,nan,2,2,1,2019-11-24 05:11:43
