Site,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Hacosay and Bluemull and Colgrave Sounds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[483, 1, 'Nov', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[147, 1, 'Oct', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']",nan,"[421, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[383, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[305, 1, 'Feb', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']",nan,"[169, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[201, 1, 'Dec', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[59, 1, 'Mar', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[249, 1, 'Feb', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[303, 1, 'Mar', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[160, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']",nan,"[144, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']",nan,"[317, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']",nan,"[366, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[555, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[720, 1, 'Feb', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']",nan,"[707, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[930, 1, 'Feb', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[764, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']",2019-12-05 18:15:55
Inner Moray and Beauly Firths,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[16, 1, 'Mar', 0, None, None]","[53, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[65, 1, 'Dec', 0, None, None]","[3, 1, 'Oct', 0, None, None]","[209, 1, 'Oct', 0, None, None]","[84, 1, 'Feb', 0, None, None]","[34, 1, 'Feb', 0, None, None]","[201, 1, 'Dec', 0, None, None]","[470, 1, 'Mar', 0, None, None]","[400, 1, 'Dec', 0, None, None]","[25, 1, 'Feb', 0, None, None]","[41, 1, 'Feb', 0, None, None]","[41, 1, 'Mar', 0, None, None]","[42, 1, 'Jan', 0, None, None]","[180, 1, 'Nov', 0, None, None]","[14, 1, 'Dec', 0, None, None]","[90, 1, 'Mar', 0, None, None]","[40, 1, 'Mar', 0, None, None]","[48, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[364, 1, 'Dec', 0, None, None]","[121, 1, 'Dec', 0, None, None]","[66, 1, 'Feb', 0, None, None]","[673, 1, 'Feb', 0, None, None]","[1087, 1, 'Dec', 0, None, None]","[222, 1, 'Dec', 0, None, None]","[310, 1, 'Dec', 0, None, None]","[607, 1, 'Jan', 0, None, None]","[380, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[1389, 1, 'Dec', 1, 'RSPB Moray Firth counts', 'RSPB']","[3545, 1, 'Jan', 1, 'RSPB Moray Firth counts', 'RSPB']","[1314, 1, 'Dec', 0, None, None]","[3585, 1, 'Dec', 1, 'RSPB Moray Firth counts', 'RSPB']","[5446, 1, 'Jan', 1, 'RSPB Moray Firth counts', 'RSPB']","[6402, 1, 'Dec', 1, 'RSPB Moray Firth counts', 'RSPB']","[11474, 1, 'Jan', 0, None, None]","[10767, 1, 'Feb', 0, None, None]","[276, 1, 'Jan', 0, None, None]","[343, 1, 'Dec', 0, None, None]","[759, 1, 'Feb', 0, None, None]","[561, 1, 'Oct', 0, None, None]","[1139, 1, 'Dec', 0, None, None]","[400, 1, 'Oct', 0, None, None]","[495, 1, 'Oct', 0, None, None]","[189, 1, 'Jan', 0, None, None]","[348, 1, 'Oct', 0, None, None]","[261, 1, 'Feb', 0, None, None]","[906, 1, 'Feb', 0, None, None]",2019-12-05 18:15:55
Moray Coast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[100, 1, 'Nov', 0, None, None]",nan,nan,nan,nan,"[1600, 1, 'Nov', 0, None, None]","[750, 1, 'Nov', 0, None, None]","[1955, 1, 'Jan', 0, None, None]","[2607, 1, 'Dec', 0, None, None]","[35, 1, 'Jan', 0, None, None]","[338, 1, 'Nov', 0, None, None]","[66, 1, 'Jan', 0, None, None]","[555, 1, 'Feb', 0, None, None]","[25, 1, 'Jan', 0, None, None]",nan,nan,"[131, 1, 'Mar', 0, None, None]","[509, 1, 'Dec', 0, None, None]","[119, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[32, 1, 'Dec', 0, None, None]","[681, 1, 'Jan', 0, None, None]","[154, 1, 'Jan', 0, None, None]","[134, 1, 'Feb', 0, None, None]","[67, 2, 'Feb', 0, None, None]","[415, 1, 'Jan', 0, None, None]","[388, 1, 'Dec', 0, None, None]","[349, 1, 'Jan', 0, None, None]","[1065, 1, 'Feb', 0, None, None]","[714, 1, 'Jan', 0, None, None]","[185, 1, 'Jan', 0, None, None]","[75, 1, 'Feb', 0, None, None]","[25, 1, 'Dec', 0, None, None]","[2135, 1, 'Dec', 0, None, None]","[1655, 1, 'Dec', 0, None, None]","[124, 1, 'Oct', 0, None, None]","[11, 1, 'Feb', 0, None, None]","[93, 2, 'Jan', 0, None, None]","[120, 1, 'Jan', 0, None, None]","[19, 1, 'Jan', 0, None, None]","[70, 1, 'Oct', 0, None, None]","[23, 1, 'Dec', 0, None, None]","[31, 1, 'Jan', 0, None, None]","[52, 1, 'Feb', 0, None, None]","[980, 1, 'Apr', 0, None, None]","[129, 1, 'Feb', 0, None, None]","[175, 1, 'Dec', 0, None, None]","[84, 1, 'Feb', 0, None, None]",2019-12-05 18:15:55
Loch Fleet Complex,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[18, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[11, 1, 'Feb', 0, None, None]","[180, 1, 'Nov', 0, None, None]","[450, 1, 'Oct', 0, None, None]","[1000, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[2217, 1, 'Dec', 0, None, None]","[2500, 1, 'Apr', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[3000, 1, 'Apr', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[150, 1, 'Oct', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[309, 1, 'Nov', 0, None, None]","[1625, 1, 'Dec', 0, None, None]","[520, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[29, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[320, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[280, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[381, 1, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[26, 1, 'Jan', 0, None, None]","[212, 1, 'Jan', 0, None, None]","[123, 1, 'Jan', 0, None, None]","[334, 1, 'Feb', 0, None, None]","[61, 1, 'Dec', 0, None, None]","[98, 1, 'Jan', 0, None, None]","[13, 1, 'Oct', 0, None, None]","[52, 1, 'Dec', 0, None, None]","[12, 1, 'Feb', 0, None, None]","[32, 1, 'Jan', 0, None, None]","[268, 1, 'Jan', 0, None, None]","[16, 1, 'Jan', 0, None, None]","[680, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[425, 1, 'Jan', 0, None, None]","[51, 1, 'Dec', 0, None, None]","[15, 1, 'Feb', 0, None, None]","[11, 1, 'Dec', 0, None, None]","[745, 1, 'Feb', 0, None, None]","[169, 1, 'Feb', 0, None, None]","[51, 1, 'Jan', 0, None, None]","[271, 1, 'Dec', 0, None, None]","[66, 1, 'Oct', 0, None, None]","[87, 1, 'Oct', 0, None, None]","[191, 1, 'Feb', 0, None, None]","[31, 2, 'Dec', 0, None, None]","[124, 1, 'Dec', 0, None, None]","[585, 1, 'Dec', 0, None, None]","[8, 1, 'Feb', 0, None, None]",2019-12-05 18:15:55
Loch Belmont (Unst),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[31, 1, 'May', 0, None, None]","[210, 1, 'Apr', 0, None, None]","[550, 1, 'May', 0, None, None]","[460, 1, 'Apr', 0, None, None]","[600, 1, 'Apr', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[410, 1, 'Feb', 0, None, None]","[700, 1, 'Apr', 0, None, None]","[550, 1, 'Feb', 0, None, None]","[475, 1, 'Mar', 0, None, None]","[170, 1, 'Nov', 0, None, None]",nan,"[165, 1, 'Nov', 0, None, None]","[80, 1, 'Oct', 0, None, None]",2019-12-05 18:15:55
The Ouse and Lairo Water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[6, 1, 'Mar', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[10, 1, 'Mar', 0, None, None]","[3, 1, 'Oct', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[15, 1, 'Mar', 0, None, None]","[20, 1, 'Feb', 0, None, None]","[9, 1, 'Jan', 0, None, None]","[12, 1, 'Oct', 0, None, None]","[16, 1, 'Mar', 0, None, None]","[21, 1, 'Mar', 0, None, None]","[14, 1, 'Mar', 0, None, None]","[12, 1, 'Jan', 0, None, None]","[5, 1, 'Oct', 0, None, None]","[32, 1, 'Feb', 0, None, None]","[78, 1, 'Feb', 0, None, None]","[28, 1, 'Mar', 0, None, None]","[250, 1, 'Mar', 0, None, None]","[284, 1, 'Mar', 0, None, None]","[430, 1, 'Feb', 0, None, None]","[470, 1, 'Oct', 0, None, None]","[350, 1, 'Mar', 0, None, None]","[158, 1, 'Feb', 0, None, None]","[55, 1, 'Mar', 0, None, None]","[70, 1, 'Feb', 0, None, None]",2019-12-05 18:15:55
Forth Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,nan,nan,nan,nan,nan,"[432, 1, 'Mar', 0, None, None]","[309, 1, 'Jan', 0, None, None]","[50, 1, 'Jan', 0, None, None]","[70, 1, 'Jan', 0, None, None]","[74, 1, 'Jan', 0, None, None]","[415, 1, 'Jan', 0, None, None]","[324, 1, 'Dec', 0, None, None]","[355, 1, 'Mar', 0, None, None]","[427, 1, 'Mar', 0, None, None]","[536, 1, 'Feb', 0, None, None]","[415, 1, 'Dec', 0, None, None]","[389, 1, 'Dec', 0, None, None]","[722, 1, 'Jan', 0, None, None]","[687, 1, 'Jan', 0, None, None]","[315, 1, 'Nov', 0, None, None]","[290, 1, 'Feb', 0, None, None]","[216, 1, 'Dec', 0, None, None]","[168, 1, 'Dec', 0, None, None]","[301, 1, 'Dec', 0, None, None]","[286, 1, 'Nov', 0, None, None]","[679, 1, 'Dec', 0, None, None]","[873, 1, 'Feb', 0, None, None]","[1032, 1, 'Jan', 0, None, None]","[465, 1, 'Nov', 0, None, None]","[451, 1, 'Nov', 0, None, None]","[640, 1, 'Dec', 0, None, None]","[491, 1, 'Mar', 0, None, None]","[942, 1, 'Jan', 0, None, None]","[1057, 1, 'Dec', 0, None, None]","[461, 2, 'Nov', 0, None, None]","[975, 1, 'Apr', 0, None, None]","[660, 1, 'Mar', 0, None, None]","[772, 1, 'Dec', 0, None, None]","[783, 1, 'Mar', 0, None, None]","[319, 1, 'Jan', 0, None, None]","[413, 1, 'Mar', 0, None, None]","[435, 1, 'Nov', 0, None, None]","[249, 1, 'Dec', 0, None, None]","[240, 2, 'Dec', 0, None, None]","[237, 1, 'Feb', 0, None, None]","[220, 1, 'Feb', 0, None, None]","[163, 1, 'Apr', 0, None, None]","[146, 1, 'Dec', 0, None, None]","[214, 1, 'Jan', 0, None, None]","[196, 1, 'Feb', 0, None, None]","[97, 1, 'Jan', 0, None, None]","[114, 1, 'Nov', 0, None, None]","[323, 1, 'Jan', 0, None, None]","[147, 1, 'Nov', 0, None, None]","[259, 1, 'Oct', 0, None, None]","[203, 1, 'Feb', 0, None, None]","[141, 1, 'Feb', 0, None, None]",2019-12-05 18:15:55
Cromarty Firth,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[10, 1, 'Mar', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[10, 1, 'Jan', 0, None, None]","[5, 1, 'Jan', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[22, 1, 'Jan', 0, None, None]","[8, 1, 'Mar', 0, None, None]","[44, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[60, 1, 'Dec', 0, None, None]","[3, 1, 'Nov', 0, None, None]","[0, 2, '', 0, None, None]","[185, 1, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[147, 1, 'Dec', 0, None, None]","[269, 1, 'Dec', 0, None, None]","[80, 1, 'Feb', 0, None, None]","[514, 1, 'Feb', 0, None, None]","[39, 2, 'Feb', 0, None, None]","[66, 1, 'Dec', 0, None, None]","[35, 1, 'Dec', 0, None, None]","[45, 1, 'Jan', 0, None, None]","[161, 1, 'Dec', 0, None, None]","[130, 1, 'Dec', 0, None, None]","[101, 1, 'Jan', 0, None, None]","[128, 1, 'Jan', 0, None, None]","[117, 1, 'Jan', 0, None, None]","[135, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[54, 1, 'Dec', 0, None, None]","[130, 1, 'Dec', 0, None, None]","[104, 1, 'Feb', 0, None, None]","[140, 1, 'Feb', 0, None, None]","[67, 1, 'Dec', 0, None, None]","[131, 1, 'Jan', 0, None, None]","[114, 1, 'Jan', 0, None, None]","[50, 1, 'Dec', 0, None, None]","[92, 1, 'Dec', 0, None, None]","[154, 1, 'Feb', 0, None, None]","[31, 2, 'Dec', 0, None, None]","[80, 1, 'Feb', 0, None, None]","[431, 1, 'Jan', 0, None, None]","[137, 1, 'Feb', 0, None, None]",2019-12-05 18:15:55
Kirkabister to Wadbister Ness,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[20, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']",nan,"[303, 1, 'Feb', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[158, 1, 'Feb', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[221, 1, 'Dec', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[84, 1, 'Mar', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[73, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[25, 1, 'Feb', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[165, 1, 'Dec', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']",nan,"[119, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[125, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[164, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[98, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[119, 1, 'Dec', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[134, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[161, 1, 'Feb', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']",nan,"[121, 1, 'Dec', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[219, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[189, 1, 'Dec', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']",2019-12-05 18:15:55
Quendale to Virkie,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[156, 1, 'Dec', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[127, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']",nan,"[110, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[203, 1, 'Dec', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[117, 1, 'Dec', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[122, 1, 'Dec', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[103, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[100, 1, 'Feb', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[57, 1, 'Feb', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']",nan,"[201, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']",nan,"[152, 1, 'Dec', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']",nan,"[242, 1, 'Dec', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[114, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']",nan,nan,"[165, 1, 'Jan', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[77, 1, 'Feb', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']","[184, 1, 'Dec', 1, 'SOTEAG reports', 'M. Heubeck  (in litt.)']",2019-12-05 18:15:55
