Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Ellesmere Lakes,0,0,0,0,0.0,0.0,0,0,4,3.0,2,2.0,2,2.0,2,2,2,2.0,2,1,Aug,2,2,1,2019-11-22 01:35:12
Loughs Neagh and Beg,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,7,4,Sep,2,2,1,2019-11-22 01:35:12
Oerley Reservoir,0,0,0,0,0.0,0.0,0,0,3,2.0,2,2.0,2,2.0,2,2,2,2.0,1,1,Oct,2,2,1,2019-11-22 01:35:12
Blatherwyke Lake,0,0,0,0,0.0,nan,0,0,(0),0.0,2,1.0,(0),0.0,0,2,2,0.0,(0),1,Jan,1,1,1,2019-11-22 01:35:12
Bryn Bach Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,Jul,1,1,1,2019-11-22 01:35:12
Exeter River Valley Park and Matford Marshes,nan,nan,nan,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,(0),(0),3.0,1,2,Oct,2,2,1,2019-11-22 01:35:12
Gnoll Ponds,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0.0,0,0.0,0,0,0,2.0,1,1,Jul,1,1,1,2019-11-22 01:35:12
Hogganfield Loch,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,1.0,1,0,nan,1,1,1,2019-11-22 01:35:12
Loch of Stenness,0,(0),0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,4,Oct,1,1,1,2019-11-22 01:35:12
Murton Wildlife Reserve,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0,0.0,0,0.0,0,0,3,1.0,2,1,Aug,1,1,1,2019-11-22 01:35:12
River Taff - Blackweir to Butetown,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,3,Nov,1,1,1,2019-11-22 01:35:12
Roundhay Park Leeds,(0),0,(0),0,0.0,0.0,0,0,nan,0.0,0,0.0,1,1.0,1,1,1,1.0,nan,0,nan,1,1,1,2019-11-22 01:35:12
Seamer Road Mere,1,0,0,0,0.0,0.0,0,2,2,2.0,0,2.0,2,2.0,3,nan,0,1.0,2,1,Jul,1,1,1,2019-11-22 01:35:12
Wanlip North Lakes,0,0,nan,nan,nan,nan,nan,nan,nan,0.0,0,0.0,0,0.0,0,0,1,1.0,1,0,nan,1,1,1,2019-11-22 01:35:12
Airthrey Loch (Stirling University Lake),0,0,0,0,0.0,0.0,0,0,1,3.0,1,0.0,0,0.0,0,0,0,0.0,0,0,nan,0,0,1,2019-11-22 01:35:12
Anglezarke and Yarrow Reservoirs,nan,0,0,0,0.0,0.0,0,0,0,0.0,1,0.0,0,0.0,0,0,0,0.0,0,0,nan,0,0,1,2019-11-22 01:35:12
Aqualate Mere,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,nan,0,0,1,2019-11-22 01:35:12
Arran,0,0,0,0,0.0,0.0,3,3,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,nan,0,0,1,2019-11-22 01:35:12
Auchenreoch Loch,0,0,0,0,0.0,0.0,(0),(0),0,3.0,0,0.0,0,0.0,0,0,0,0.0,0,0,nan,0,0,1,2019-11-22 01:35:12
Avon Estuary (Devon),(0),0,0,(0),0.0,0.0,0,3,2,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,nan,0,0,1,2019-11-22 01:35:12
Bar Mere,0,0,0,0,0.0,0.0,1,1,1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,nan,0,0,1,2019-11-22 01:35:12
Bennybeg Pond,nan,nan,nan,nan,0.0,0.0,1,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,nan,0,0,1,2019-11-22 01:35:12
Blagdon Lake,0,0,1,0,0.0,0.0,0,0,0,0.0,(0),0.0,0,0.0,0,0,0,0.0,0,0,nan,0,0,1,2019-11-22 01:35:12
Bodenham Gravel Pit,0,0,0,0,0.0,0.0,0,nan,(0),0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,nan,0,0,1,2019-11-22 01:35:12
Buckden and Stirtloe Pits,1Supplementary visit under the WeBS Core Count SurveyWeBS,0,0,0,0.0,nan,nan,nan,nan,nan,0,0.0,0,0.0,nan,(0),0,0.0,0,0,nan,0,0,1,2019-11-22 01:35:12
Burton Fleming Meres,nan,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,2,0.0,0,0,0,0.0,0,0,nan,0,0,1,2019-11-22 01:35:12
Carshalton Grove Ponds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,1,2019-11-22 01:35:12
Chew Valley Lake,0,0,0,0,0.0,0.0,1,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,nan,0,0,1,2019-11-22 01:35:12
Cleddau Estuary,0,0,0,0,0.0,0.0,0,2,(0),0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,nan,0,0,1,2019-11-22 01:35:12
Colwick Country Park,0,0,nan,nan,nan,nan,nan,0,0,0.0,0,nan,0,0.0,(0),0,nan,nan,nan,0,nan,0,0,1,2019-11-22 01:35:12
Crichel Lake,0.0,0,0.0,0,0,(0),0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,nan,nan,nan,0,0,2,2019-11-22 01:35:18
Cultenhove Dam,0.0,0,0.0,nan,0,0,0.0,0.0,0,0.0,0.0,2.0,2,1,0,0,0,0,0,0.0,nan,0,0,2,2019-11-22 01:35:18
Dagenham Chase Gravel Pits,nan,(0),0.0,0,0,2,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0.0,nan,0,0,2,2019-11-22 01:35:18
Deene Lake,0.0,0,3.0,0,(0),nan,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,(0),0,0.0,nan,0,0,2,2019-11-22 01:35:18
Diss Mere,6.0,8,8.0,8,7,7,7.0,6.0,5,2.0,0.0,0.0,0,0,0,0,0,0,0,0.0,nan,0,0,2,2019-11-22 01:35:18
Duddon Estuary,0.0,0,0.0,0,0,0,5.0,2.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,nan,0,0,2,2019-11-22 01:35:18
Durleigh Reservoir,nan,0,0.0,nan,nan,0,nan,0.0,nan,nan,nan,nan,0,1,1,0,0,0,0,0.0,nan,0,0,2,2019-11-22 01:35:18
East Park Hull,nan,nan,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,nan,0,0,2,2019-11-22 01:35:18
