Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Mary Stevens Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,6.0,10.0,Sep,7,7,1,2019-11-24 19:12:51
River Usk and Canal - Brynich to Brecon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,6,6,5,3.0,5.0,1.0,Sep,4,4,1,2019-11-24 19:12:51
Distillery Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,Feb,3,3,1,2019-11-24 19:12:51
Horsted Keynes Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.0,4.0,3.0,Aug,3,3,1,2019-11-24 19:12:51
Shibdon Pond,0,0,0,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,1,0,5,3.0,3.0,2.0,Mar,3,3,1,2019-11-24 19:12:51
Southill Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,(9),4,1.0,1.0,1.0,Jul,3,3,1,2019-11-24 19:12:51
Brayford Pool Lincoln,0,0,0,nan,nan,nan,nan,0,26,17,14,11,8,8.0,6,3,3,2.0,0.0,2.0,Dec,2,2,1,2019-11-24 19:12:51
Burrator Reservoir,(0),0,0,0,0,0,0,1,1,1,1,0,0,0.0,0,0,2,4.0,1.0,2.0,Sep,2,2,1,2019-11-24 19:12:51
Cotswold Water Park,0,0,0,0,0,0,0,5,0,0,0,0,0,0.0,0,1,4,0.0,1.0,2.0,Jan,2,2,1,2019-11-24 19:12:51
Cotswold Water Park (East),0,0,(0),0,(0),(0),(0),(0),(0),(0),(0),(0),0,0.0,(0),(0),3,nan,nan,nan,nan,3,3,1,2019-11-24 19:12:51
Drift Reservoir,0,0,1,1,0,0,0,0,0,0,nan,0,0,0.0,0,2,2,2.0,1.0,1.0,Aug,2,2,1,2019-11-24 19:12:51
Fendrod Pool,nan,nan,nan,0,0,0,0,0,1,4,3,2,2,4.0,4,3,4,2.0,1.0,2.0,Feb,2,2,1,2019-11-24 19:12:51
Ratherheath Tarn,0,(0),0,(0),0,(0),(0),(0),0,0,0,0,0,0.0,0,0,0,0.0,4.0,5.0,Sep,2,2,1,2019-11-24 19:12:51
Reddish Vale Visitors Centre (Topmill Pond and Bottom Pond),2,4,4,1,0,0,nan,0,0,0,0,0,nan,nan,nan,2,nan,nan,nan,nan,nan,2,2,1,2019-11-24 19:12:51
River Hull - Riverhead to Whinhill,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,(3),2,(2),nan,nan,nan,nan,2,2,1,2019-11-24 19:12:51
